genus,species,common name,body mass (kg),log10 body mass,BMR,units,converted to kCal,log10 bmr,diet,habitat,usable,order corrected,Source
Tamias,striatus,eastern chipmunk,0.08769333,-1.0570334,99.7233333,ml O2/h,11.97,1.07797803,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Wang and Hudson 1971; Genoud 2017 dataset"

Tamiasciurus,hudsonicus,american red squirrel,0.232,-0.634512,285.565,ml O2/h,34.265,1.53485074,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Pauls 1981; Genoud 2017 dataset"

Taphozous,mauritianus,mauritian tomb bat,0.02617,-1.5821963,31.14,ml O2/h,3.7368,0.57249985,c,land,yes,chiroptera,Toussaint & McKechnie (2012)

Tarsipes,rostratus,honey possum,0.005975,-2.2236621,15.525,ml O2/h,1.86,0.27021285,h,land,yes,diprotodontia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Cooper and Cruz=Neto 2009; Genoud 2017 dataset"

Tarsius,syrichta,philippine tarsier,0.11566667,-0.9367918,77.019,ml O2/h,9.24,0.96577912,c,land,yes,primates,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab and Wright 1987; Genoud 2017 dataset"

Tarsius,tarsier,spectral tarsier,0.173,-0.7619539,149,ml O2/h,17.88,1.25236751,c,land,yes,primates,"White and Seymour, 2003"

Taxidea,taxus,american badger,9,0.95424251,2700,ml O2/h,324,2.51054501,c,land,yes,carnivora,"White and Seymour, 2003; Harlow 1981; Genoud 2017 dataset"

Tenrec,ecaudatus,tailess tenrec,0.75,-0.1249387,223.414286,ml O2/h,26.81,1.42829219,o,land,yes,afrosoricida,"White and Seymour, 2003; Hildwein 1970; Genoud 2017 dataset"

Thallomys,paedulcus,acacia rat,0.1256625,-0.9007943,70.8695,ml O2/h,8.5,0.92964061,o,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Lovegrove et al., 1991; Genoud 2017 dataset"

Thomomys,bottae,botta's pocket gopher,0.143,-0.844664,120.1,ml O2/h,14.41,1.15872425,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Vleck 1979; Genoud 2017 dataset"

Thomomys,talpoides,northern pocket gopher,0.0945,-1.0245682,114.0385,ml O2/h,13.68,1.13623274,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Kenagy and Vleck 1982; Genoud 2017 dataset"

Thomomys,umbrinus,southern pocket gopher,0.085,-1.0705811,72.3,ml O2/h,8.68,0.93831954,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset"

Thomomys,townsendii,townsend's pocket gopher,0.249,-0.6038007,189.2,ml O2/h,22.704,1.35610238,h,land,yes,rodentia,Contreras (1983)

Thrichomys,apereoides,common punare,0.323,-0.4907975,206.7,ml O2/h,24.8,1.39452172,h,land,yes,rodentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Arends and McNab 2001; Genoud 2017 dataset"

Thylamys,elegans,elegant fat-tailed mouse opossum,0.0402,-1.3957739,42.9927746,ml O2/h,5.159133,0.71257672,o,land,yes,didelphimorphia,"Khaliq et al. (2015); Bozinovic et al., 2005; Genoud 2017 dataset"

Tolypeutes,matacus,southern three-banded armadillo,1.16,0.06445799,210,ml O2/h,25.2,1.40140054,c,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017 dataset"

Tonatia,bidens,greater round-eared bat,0.0274,-1.5622494,42.40068,ml O2/h,5.09,0.70655407,o,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Tragulus,javanicus,java mouse-deer,1.618,0.20897852,875.124378,ml O2/h,105.0149254,2.02125103,o,land,yes,artiodactyla,Khaliq et al. (2015)

Trichosurus,vulpecula,common brushtail possum,1.98528571,0.29782302,640.228571,ml O2/h,76.83,1.8855163,o,land,yes,diprotodontia,"White and Seymour, 2003; Dawson and Hulbert 1970; Genoud 2017 dataset"

Tupaia,glis,common treeshrew,0.123,-0.9100949,93.5,ml O2/h,11.22,1.04999286,o,land,yes,scandentia,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Bradley and Hudson 1974; Genoud 2017 dataset"

Tupaia,belangeri,northern treeshrew,0.186,-0.7304871,126.368159,ml O2/h,15.1641791,1.18081891,o,land,yes,scandentia,Khaliq et al. (2015); Weigold 1979; Genoud 2017 dataset

Tympanoctomys,barrerae,plains viscacha rat,0.0714,-1.1463018,76.9,ml O2/h,9.23,0.96510759,h,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Bozinovic and Contreras 1990; Genoud 2017 dataset"

Uroderma,bilobatum,tent-making bat,0.0162,-1.790485,27.792,ml O2/h,3.34,0.52310105,h,land,yes,chiroptera,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1969, 1989; Genoud 2017 dataset"

Urocitellus,armatus,uinta ground squirrel,0.30732308,-0.5124048,166.087692,ml O2/h,19.93,1.2995187,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Urocitellus,beldingi,belding's ground squirrel,0.28766667,-0.5411105,149.915,ml O2/h,17.99,1.25502634,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Urocitellus,townsendii,townsend's ground squirrel,0.20496,-0.6883309,114.986,ml O2/h,13.8,1.13982621,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Urocitellus,undulatus,long-tailed ground squirrel,0.634,-0.1979107,667.09,ml O2/h,80.05,1.90337219,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"

Urogale,everetti,mindanao treeshrew,0.2606,-0.5840256,224.1,ml O2/h,26.89,1.4296231,o,land,yes,scandentia,"White and Seymour, 2003"

Uromys,caudimaculatus,white-tailed giant rat,0.812,-0.090444,570.8,ml O2/h,68.5,1.83566521,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hinds et al., 1993; Genoud 2017 dataset"

Ursus,americanus,black bear,42.97,1.63316535,0.276,ml g^-1 h^-1,1423.17,3.15325678,o,land,yes,carnivora,"Toien et al., 2011"

Vampyressa,pusilla,southern little yellow-eared bat,0.0088,-2.0555173,18.6,ml O2/h,2.23,0.34869419,h,land,yes,chiroptera,"White and Seymour, 2003"

Vespadelus,vulturnus,little forest bat,0.004,-2.39794,4.08,ml O2/h,0.4896,-0.3101586,c,land,yes,chiroptera,Willis et al. (2005b)

Vulpes,lagopus,white fox,4.28285714,0.63173359,239.365714,kg cal/24 hrs,239.3657143,2.37906194,o,land,yes,carnivora,"Scholander et al., 1950; Fuglesteg et al., 2006; Genoud 2017 dataset"

Vulpes,macrotis,kit fox,1.77661538,0.24959342,223.247323,ml O2/h,26.79,1.42796751,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Golightly and Ohmart 1983; Genoud 2017 dataset"

Vulpes,vulpes,red fox,3.726,0.57124285,1689.1988,ml O2/h,202.7,2.30686201,o,land,yes,carnivora,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; Williams et al., 2004; Genoud 2017 dataset"

Vulpes,zerda,fennec fox,1.1605,0.06464514,489.6675,ml O2/h,58.6250994,1.76808359,o,land,yes,carnivora,"Khaliq et al. (2015); Noll-Banholzer 1979; Genoud 2017 dataset; White and Seymour, 2003"

Vulpes,rueppellii,ruppells fox,1.546,0.18920949,798.9,ml O2/h,95.868,1.98167367,o,land,yes,carnivora,Williams et al. (2002)

Vulpes,cana,blanford's fox,1.285,0.10890313,631.2,ml O2/h,75.744,1.87934824,o,land,yes,carnivora,Williams et al. (2004a)

Xerospermophilus,mohavensis,mohave ground squirrel,0.2395625,-0.6205812,111.4875,ml O2/h,13.38,1.12640742,o,land,yes,rodentia,"White and Seymour, 2003; Hudson et al., 1972; Genoud 2017 dataset"

Xerospermophilus,spilosoma,spotted ground squirrel,0.1509,-0.8213108,88.9,ml O2/h,10.67,1.02808301,o,land,yes,rodentia,"White and Seymour, 2003; Hudson et al., 1972; Genoud 2017 dataset"

Xerospermophilus,tereticaudus,round-tailed ground squirrel,0.16081667,-0.7936689,90.7858333,ml O2/h,10.89,1.03719933,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset; Hudson et al., 1972; Genoud 2017 dataset"

Xerus,inauris,cape ground squirrel,0.542,-0.2660007,326.3,ml O2/h,39.16,1.59279832,o,land,yes,rodentia,"White and Seymour, 2003"

Xerus,princeps,mountain ground squirrel,0.602,-0.2204035,340.1,ml O2/h,40.81,1.61078788,o,land,yes,rodentia,"White and Seymour, 2003"

Xerus,inauris,cape ground squirrel,0.5153,-0.2879399,310.21,ml O2/h,37.2252,1.57083704,o,land,yes,rodentia,Lovegrove (2003)

Xerus,princeps,mountain ground squirrel,0.627,-0.2027325,354.26,ml O2/h,42.5112,1.62850336,o,land,yes,rodentia,Lovegrove (2003)

Zaedyus,pichiy,pichi,1.74,0.24054925,396.5,ml O2/h,47.58,1.67742444,o,land,yes,cingulata,"White and Seymour, 2003; Khaliq et al., 2015; Naya dataset; McNab 1980; Genoud 2017 dataset"

Zaglossus,bruijnii,western long-beaked echidna,10.3,1.01283722,1215,ml O2/h,145.8,2.16375752,c,land,yes,monotremata,"White and Seymour, 2003; McNab 1984; Genoud 2017 dataset"

Zapus,hudsonius,meadow jumping mouse,0.0269,-1.5702477,40.35,ml O2/h,4.84,0.68502479,o,land,yes,rodentia,"White and Seymour, 2003; Lovegrove 2003; Naya dataset"
